中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,28 ms,202 Mbps,25907 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,17 ms,208 Mbps,26624 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,19 ms,71 Mbps,9154 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,60 ms,363 Mbps,46489 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,21 ms,1072 Mbps,137216 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,16 ms,467 Mbps,59801 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,57 ms,1016 Mbps,130048 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,43 ms,502 Mbps,64307 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,20 ms,53 Mbps,6846 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,76 ms,1120 Mbps,143360 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,111 ms,400 Mbps,51200 kB/s
35.197.23.75,443,34.19.58.219,US,Seattle,隧道,36 ms,549 Mbps,70348 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,24 ms,668 Mbps,85504 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,37 ms,706 Mbps,90419 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,56 ms,364 Mbps,46694 kB/s
104.131.1.43,443,2604:a880:800:10::ddf:b001,US,Newark,隧道,79 ms,307 Mbps,39321 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,62 ms,274 Mbps,35123 kB/s
34.82.76.253,443,34.145.7.247,US,Seattle,隧道,39 ms,556 Mbps,71168 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,63 ms,296 Mbps,37888 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,65 ms,21 Mbps,2815 kB/s
167.172.152.157,443,167.172.152.157,US,Newark,中转,132 ms,314 Mbps,40243 kB/s
35.230.79.26,443,34.19.58.219,US,Seattle,隧道,91 ms,567 Mbps,72601 kB/s
192.18.150.121,443,192.18.150.121,CA,Toronto,中转,63 ms,352 Mbps,45158 kB/s
138.197.104.86,443,138.197.104.86,US,Newark,中转,218 ms,298 Mbps,38195 kB/s
45.32.25.171,443,45.32.25.171,JP,Tokyo,中转,110 ms,182 Mbps,23347 kB/s
