中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,236 Mbps,30208 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,64 ms,327 Mbps,41881 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,392 Mbps,50176 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,494 Mbps,63283 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,64 Mbps,8286 kB/s
129.146.7.98,443,2a09:bac5:60e9:78::c:37f,US,Los Angeles,隧道,64 ms,77 Mbps,9961 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,9 ms,720 Mbps,92262 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,18 ms,2 Mbps,257 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,37 ms,471 Mbps,60313 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,229 Mbps,29388 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,73 ms,342 Mbps,43827 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,218 Mbps,27955 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,98 ms,291 Mbps,37273 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,95 ms,46 Mbps,5935 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,75 ms,48 Mbps,6256 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,75 ms,318 Mbps,40755 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,18 ms,1 Mbps,235 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,103 ms,3 Mbps,431 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,84 ms,244 Mbps,31232 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,284 Mbps,36454 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,69 ms,384 Mbps,49254 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,96 ms,273 Mbps,35020 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,103 ms,42 Mbps,5449 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,97 ms,44 Mbps,5672 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,175 ms,133 Mbps,17100 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,125 ms,164 Mbps,20992 kB/s
158.101.221.74,443,2a0b:21c0:1007:1c9:0:631:1dd3:8ce7,DE,Frankfurt,隧道,94 ms,264 Mbps,33894 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,94 ms,5 Mbps,646 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,48 Mbps,6220 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,85 ms,171 Mbps,21913 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,202 ms,110 Mbps,14131 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,102 ms,52 Mbps,6681 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,206 ms,73 Mbps,9459 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,247 ms,82 Mbps,10547 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,247 ms,2 Mbps,315 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,199 ms,40 Mbps,5246 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,223 ms,33 Mbps,4320 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,218 ms,37 Mbps,4766 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,212 ms,80 Mbps,10342 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,214 ms,38 Mbps,4986 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,190 ms,81 Mbps,10444 kB/s
130.162.144.191,443,2a09:bac5:4732:155::22:11d,KR,Seoul,隧道,225 ms,33 Mbps,4323 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,241 ms,0 Mbps,53 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,205 ms,17 Mbps,2237 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,252 ms,99 Mbps,12697 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,235 ms,0 Mbps,42 kB/s
193.122.117.94,443,2602:ffe4:407:20d9:0:612:7174:5a66,SG,Singapore,隧道,314 ms,38 Mbps,4934 kB/s
146.56.154.57,443,2602:ffe4:407:20da:0:4f25:61d9:10a7,SG,Singapore,隧道,312 ms,39 Mbps,5078 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,234 ms,57 Mbps,7392 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,217 ms,18 Mbps,2360 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,1229 ms,32 Mbps,4145 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,229 ms,0 Mbps,13 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,328 ms,0 Mbps,16 kB/s
