中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.191.122.211,443.0,3.130.64.226,US,,隧道,14 ms,772 Mbps,98816 kB/s,98816.0
34.69.150.180,443.0,34.69.150.180,US,,中转,16 ms,747 Mbps,95641 kB/s,95641.0
3.138.59.154,443.0,3.130.64.226,US,,隧道,70 ms,713 Mbps,91340 kB/s,91340.0
35.202.158.120,443.0,35.202.158.120,US,Chicago,中转,15 ms,673 Mbps,86220 kB/s,86220.0
3.144.191.4,443.0,3.144.191.4,US,Columbus,中转,46 ms,584 Mbps,74854 kB/s,74854.0
150.136.240.243,443.0,150.136.240.243,US,Ashburn,中转,85 ms,482 Mbps,61747 kB/s,61747.0
35.230.79.26,443.0,34.168.20.69,US,Seattle,隧道,52 ms,436 Mbps,55910 kB/s,55910.0
34.82.76.253,443.0,34.19.48.92,US,Seattle,隧道,51 ms,432 Mbps,55398 kB/s,55398.0
107.172.98.6,443.0,2001:470:c:30a::2,US,Los Angeles,隧道,62 ms,431 Mbps,55193 kB/s,55193.0
43.153.103.203,443.0,43.153.103.203,US,San Jose,中转,165 ms,420 Mbps,53760 kB/s,53760.0
192.9.138.241,443.0,192.9.138.241,US,San Jose,中转,53 ms,414 Mbps,53043 kB/s,53043.0
35.197.23.75,443.0,34.168.20.69,US,Seattle,隧道,57 ms,412 Mbps,52736 kB/s,52736.0
43.153.80.208,443.0,43.153.80.208,US,San Jose,中转,59 ms,401 Mbps,51404 kB/s,51404.0
129.146.133.33,443.0,129.146.133.33,US,Los Angeles,中转,54 ms,398 Mbps,50995 kB/s,50995.0
198.23.236.101,443.0,198.23.236.101,US,San Jose,中转,52 ms,378 Mbps,48435 kB/s,48435.0
150.230.42.80,443.0,104.28.201.73,US,San Jose,隧道,61 ms,375 Mbps,48025 kB/s,48025.0
18.216.55.100,443.0,18.216.55.100,US,Columbus,中转,19 ms,372 Mbps,47616 kB/s,47616.0
44.224.24.91,443.0,44.224.24.91,US,,中转,77 ms,369 Mbps,47308 kB/s,47308.0
23.94.43.51,443.0,23.94.43.51,US,Seattle,中转,52 ms,362 Mbps,46387 kB/s,46387.0
184.169.181.217,443.0,184.169.181.217,US,San Jose,中转,66 ms,352 Mbps,45056 kB/s,45056.0
198.23.254.51,443.0,198.23.254.51,US,San Jose,中转,64 ms,352 Mbps,45056 kB/s,45056.0
18.236.13.188,443.0,204.110.220.101,US,,隧道,61 ms,347 Mbps,44441 kB/s,44441.0
44.230.218.23,443.0,52.35.136.129,US,,隧道,61 ms,340 Mbps,43622 kB/s,43622.0
