中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,427 Mbps,54681 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,695 Mbps,88985 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,28 ms,311 Mbps,39833 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,22 ms,856 Mbps,109568 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,11 ms,1544 Mbps,197632 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,165 Mbps,21196 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,33 ms,1032 Mbps,132096 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,6 ms,676 Mbps,86630 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,61 ms,363 Mbps,46489 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,9 ms,1688 Mbps,216064 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,61 ms,47 Mbps,6119 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,39 ms,864 Mbps,110592 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,21 ms,54 Mbps,7009 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,133 ms,48 Mbps,6217 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,53 ms,856 Mbps,109568 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,4 ms,0 Mbps,126 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,64 ms,42 Mbps,5465 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,112 Mbps,14336 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,81 Mbps,10444 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,142 ms,129 Mbps,16588 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,120 ms,51 Mbps,6555 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,65 ms,660 Mbps,84582 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,64 ms,324 Mbps,41574 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,71 ms,40 Mbps,5125 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,158 ms,127 Mbps,16281 kB/s
141.147.100.73,443,98.98.166.170,US,Frankfurt,隧道,159 ms,112 Mbps,14438 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,110 Mbps,14131 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,167 ms,104 Mbps,13312 kB/s
141.147.70.98,443,2a0b:21c0:1007:c9:0:8d7e:82b:40cb,DE,Frankfurt,隧道,158 ms,104 Mbps,13414 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,134 ms,30 Mbps,3870 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,158 ms,63 Mbps,8154 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,141 ms,68 Mbps,8815 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,153 ms,117 Mbps,15052 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,135 ms,152 Mbps,19456 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,164 ms,43 Mbps,5603 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,150 ms,43 Mbps,5615 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,133 ms,140 Mbps,17920 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,115 Mbps,14745 kB/s
141.144.244.120,443,2606:f240:f00:5a42:0:d473:2c5e:f37a,US,Frankfurt,隧道,160 ms,102 Mbps,13107 kB/s
141.148.245.104,443,2a0b:21c0:1007:cb:0:5eb7:40d9:2a35,DE,Frankfurt,隧道,213 ms,104 Mbps,13414 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,158 ms,111 Mbps,14233 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,102 Mbps,13107 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,180 ms,116 Mbps,14848 kB/s
141.147.178.76,443,128.14.104.155,SG,Singapore,隧道,172 ms,93 Mbps,11980 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,59 ms,366 Mbps,46899 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,153 ms,33 Mbps,4349 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,38 Mbps,4983 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,171 ms,85 Mbps,10956 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,169 ms,19 Mbps,2465 kB/s
130.162.144.191,443,2a09:bac5:4756:1a14::299:4b,KR,Seoul,隧道,136 ms,37 Mbps,4835 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,134 ms,118 Mbps,15155 kB/s
168.138.184.172,443,168.138.184.172,SG,Singapore,中转,169 ms,101 Mbps,13004 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,161 ms,3 Mbps,482 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,129 ms,116 Mbps,14950 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,168 ms,37 Mbps,4737 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,132 ms,46 Mbps,5951 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,414 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,160 ms,42 Mbps,5485 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,128 ms,142 Mbps,18227 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,168 ms,118 Mbps,15155 kB/s
130.162.43.230,443,2a0b:21c0:1007:c7:0:14e1:fd79:8d37,DE,Frankfurt,隧道,210 ms,104 Mbps,13312 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,218 ms,68 Mbps,8762 kB/s
193.123.57.18,443,2a0b:21c0:100a:1b4:0:a093:1e8a:454c,DE,Frankfurt,隧道,301 ms,107 Mbps,13721 kB/s
