中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.138.241,443,192.9.138.241,US,San Jose,中转,26 ms,1480 Mbps,189440 kB/s
35.230.79.26,443,34.168.136.56,US,Seattle,隧道,28 ms,824 Mbps,105472 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,34 ms,316 Mbps,40550 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,361 Mbps,46284 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,60 ms,367 Mbps,47001 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,58 ms,750 Mbps,96051 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,11 ms,50 Mbps,6411 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,60 ms,83 Mbps,10649 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,25 ms,800 Mbps,102400 kB/s
129.146.7.98,443,2a09:bac1:76e0:e18::1bd:fe,US,Los Angeles,隧道,19 ms,116 Mbps,14848 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,53 ms,661 Mbps,84684 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,609 Mbps,78028 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,54 ms,1656 Mbps,211968 kB/s
155.248.204.33,443,2603:c024:c011:e604:4aea:b4b7:aac5:85ae,US,San Jose,隧道,167 ms,856 Mbps,109568 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,3 ms,1336 Mbps,171008 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,658 Mbps,84275 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,67 ms,19 Mbps,2488 kB/s
35.197.23.75,443,34.168.136.56,US,Seattle,隧道,62 ms,669 Mbps,85708 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,86 ms,89 Mbps,11468 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,68 ms,290 Mbps,37171 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,149 Mbps,19148 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,168 ms,41 Mbps,5258 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,121 Mbps,15564 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,248 Mbps,31744 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,6 Mbps,819 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,154 ms,88 Mbps,11366 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,157 ms,30 Mbps,3862 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,348 Mbps,44646 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,230 ms,33 Mbps,4239 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,105 Mbps,13516 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,155 ms,103 Mbps,13209 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,97 Mbps,12492 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,210 ms,49 Mbps,6310 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,168 ms,76 Mbps,9841 kB/s
146.56.161.229,443,146.56.161.229,KR,Tokyo,中转,138 ms,120 Mbps,15462 kB/s
45.76.220.61,443,45.76.220.61,JP,Tokyo,中转,109 ms,158 Mbps,20275 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,171 ms,3 Mbps,424 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,169 ms,94 Mbps,12083 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,119 Mbps,15257 kB/s
158.101.71.60,443,2603:c021:8003:daee:5055:b055:15ac:95a8,JP,Tokyo,隧道,156 ms,105 Mbps,13516 kB/s
143.47.245.250,443,2a0b:21c0:1007:1cb:0:1b7f:de7c:20a3,DE,Frankfurt,隧道,156 ms,112 Mbps,14336 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,170 ms,89 Mbps,11468 kB/s
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,141 ms,39 Mbps,5058 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,163 ms,32 Mbps,4121 kB/s
138.3.243.88,443,2a0b:21c0:100a:1fa:0:5fe3:9d8:d533,DE,Frankfurt,隧道,153 ms,100 Mbps,12902 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,266 ms,113 Mbps,14540 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,168 ms,77 Mbps,9910 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,147 ms,38 Mbps,4976 kB/s
204.110.220.3,443,204.110.220.195,US,,隧道,45 ms,395 Mbps,50585 kB/s
144.24.189.21,443,144.24.189.21,DE,Frankfurt,中转,154 ms,43 Mbps,5511 kB/s
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,172 ms,71 Mbps,9156 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,168 ms,56 Mbps,7264 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,172 ms,19 Mbps,2462 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,171 ms,72 Mbps,9284 kB/s
143.47.244.112,443,163.123.193.4,DE,Frankfurt,隧道,178 ms,112 Mbps,14336 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,181 ms,97 Mbps,12492 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,169 ms,96 Mbps,12390 kB/s
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,173 ms,75 Mbps,9656 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,168 ms,96 Mbps,12390 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,262 ms,0 Mbps,46 kB/s
8.222.204.128,443,8.222.204.128,SG,Singapore,中转,169 ms,90 Mbps,11571 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,131 ms,108 Mbps,13824 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,283 ms,42 Mbps,5456 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,25 ms,141 Mbps,18124 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,196 ms,86 Mbps,11059 kB/s
141.144.195.21,443,2606:f240:f00:6acf:0:dc73:54ea:d73,US,Frankfurt,隧道,155 ms,100 Mbps,12800 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,27 ms,558 Mbps,71475 kB/s
3.138.59.154,443,3.130.94.216,US,,隧道,60 ms,331 Mbps,42393 kB/s
141.145.199.188,443,141.145.199.188,108 Mbps,13824 kB/s
2603:c027:c002:9a00:b670:5cb3:e47d:8c20,,,隧道,0 ms,null Mbps,null kB/s
18.191.122.211,443,3.130.94.216,US,,隧道,123 ms,19 Mbps,2529 kB/s
54.203.85.46,443,204.110.220.52,US,,隧道,129 ms,477 Mbps,61132 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,24 ms,436 Mbps,55808 kB/s
35.183.163.195,443,3.96.184.207,CA,,隧道,74 ms,267 Mbps,34201 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,160 ms,123 Mbps,15769 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,220 ms,121 Mbps,15564 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,120 Mbps,15360 kB/s
129.151.221.152,443,129.151.221.152,SE,,中转,160 ms,115 Mbps,14745 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,158 ms,112 Mbps,14438 kB/s
103.137.63.3,443,111.247.41.18,TW,,隧道,133 ms,140 Mbps,18022 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,277 ms,112 Mbps,14438 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,156 ms,114 Mbps,14643 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,157 ms,114 Mbps,14643 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,14 ms,21 Mbps,2707 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,161 ms,110 Mbps,14131 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,160 ms,105 Mbps,13516 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,2 ms,314 Mbps,40243 kB/s
141.148.233.159,443,98.98.166.58,AE,Frankfurt,隧道,190 ms,105 Mbps,13516 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,213 ms,74 Mbps,9509 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,153 ms,30 Mbps,3894 kB/s
144.24.83.39,443,144.24.83.39,KR,Tokyo,中转,131 ms,122 Mbps,15667 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,168 ms,73 Mbps,9464 kB/s
158.101.148.105,443,158.101.148.105,JP,Hong Kong,中转,159 ms,41 Mbps,5334 kB/s
192.18.134.28,443,2a09:bac1:7680:1cf0::4:2e6,US,San Jose,隧道,43 ms,56 Mbps,7270 kB/s
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,202 ms,64 Mbps,8256 kB/s
45.32.25.171,443,45.32.25.171,JP,Tokyo,中转,158 ms,200 Mbps,25702 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,169 ms,100 Mbps,12902 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,168 ms,88 Mbps,11366 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,73 ms,285 Mbps,36556 kB/s
