中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
184.169.181.217,443,184.169.181.217,US,San Jose,中转,21 ms,772 Mbps,98918 kB/s,98918.0
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,51 ms,652 Mbps,83456 kB/s,83456.0
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,37 ms,624 Mbps,79974 kB/s,79974.0
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,51 ms,586 Mbps,75059 kB/s,75059.0
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,61 ms,545 Mbps,69836 kB/s,69836.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,39 ms,476 Mbps,60928 kB/s,60928.0
192.18.130.65,443,192.18.130.65,US,San Jose,中转,45 ms,465 Mbps,59596 kB/s,59596.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,45 ms,452 Mbps,57856 kB/s,57856.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,26 ms,375 Mbps,48025 kB/s,48025.0
192.18.134.231,443,192.18.134.231,US,San Jose,中转,35 ms,348 Mbps,44544 kB/s,44544.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,73 ms,328 Mbps,41984 kB/s,41984.0
152.70.155.147,443,152.70.155.147,US,Seattle,中转,96 ms,283 Mbps,36249 kB/s,36249.0
192.9.146.103,443,192.9.146.103,US,San Jose,中转,35 ms,270 Mbps,34611 kB/s,34611.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,73 ms,260 Mbps,33280 kB/s,33280.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,223 Mbps,28569 kB/s,28569.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,141 ms,188 Mbps,24166 kB/s,24166.0
129.146.209.97,443,129.146.209.97,US,Seattle,中转,17 ms,180 Mbps,23142 kB/s,23142.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,164 Mbps,21094 kB/s,21094.0
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,147 ms,162 Mbps,20787 kB/s,20787.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,155 ms,159 Mbps,20377 kB/s,20377.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,148 ms,156 Mbps,20070 kB/s,20070.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,152 Mbps,19456 kB/s,19456.0
158.101.206.101,443,2a0b:21c0:100a:1b3:0:a68:b70c:651c,DE,Frankfurt,隧道,162 ms,149 Mbps,19148 kB/s,19148.0
158.101.220.192,443,2a0b:21c0:100a:1b3:0:6eca:3026:7ea1,DE,Frankfurt,隧道,176 ms,140 Mbps,17920 kB/s,17920.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,164 ms,138 Mbps,17715 kB/s,17715.0
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,136 Mbps,17510 kB/s,17510.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,179 ms,134 Mbps,17203 kB/s,17203.0
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,139 ms,133 Mbps,17100 kB/s,17100.0
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,158 ms,131 Mbps,16793 kB/s,16793.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,137 ms,128 Mbps,16486 kB/s,16486.0
143.47.176.161,443,2a0b:21c0:1007:1c8:0:c807:578:8d86,DE,Frankfurt,隧道,154 ms,128 Mbps,16384 kB/s,16384.0
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,143 ms,122 Mbps,15667 kB/s,15667.0
152.70.49.31,443,2a0b:21c0:1007:1ca:0:e3c7:1c2e:126b,DE,Frankfurt,隧道,172 ms,120 Mbps,15360 kB/s,15360.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,203 ms,109 Mbps,14028 kB/s,14028.0
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,159 ms,98 Mbps,12595 kB/s,12595.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,206 ms,95 Mbps,12185 kB/s,12185.0
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,198 ms,93 Mbps,11980 kB/s,11980.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,173 ms,92 Mbps,11878 kB/s,11878.0
158.101.130.149,443,2602:ffe4:407:20da:0:32f1:dc6b:284d,SG,Singapore,隧道,226 ms,83 Mbps,10649 kB/s,10649.0
8.212.44.95,443,47.76.21.103,HK,Hong Kong,隧道,246 ms,71 Mbps,9191 kB/s,9191.0
8.212.48.236,443,47.76.21.100,HK,Hong Kong,隧道,269 ms,68 Mbps,8815 kB/s,8815.0
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,San Jose,隧道,33 ms,60 Mbps,7712 kB/s,7712.0
